Token,Symbol Details,Exchange Instrument Type,Minimum Lot Size,Tick Size,ISIN,Trading Session,Last Update Date,Expiry Date,Symbol Ticker,Exchange,Segment,Scrip Code,Underlying Symbol,Underlying Scrip Code,Strike Price,Option Type
1.21E+16,BANKEX 24 Oct 28 57700 CE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT57700CE,12,11,1105872,BANKEX,12,57700,CE
1.21E+16,BANKEX 24 Oct 28 56200 CE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT56200CE,12,11,1105873,BANKEX,12,56200,CE
1.21E+16,BANKEX 24 Oct 28 61300 PE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT61300PE,12,11,1105875,BANKEX,12,61300,PE
1.21E+16,BANKEX 24 Oct 28 60800 PE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT60800PE,12,11,1105884,BANKEX,12,60800,PE
1.21E+16,BANKEX 24 Oct 28 56500 PE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT56500PE,12,11,1105897,BANKEX,12,56500,PE
1.21E+16,BANKEX 24 Oct 28 55000 PE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT55000PE,12,11,1105902,BANKEX,12,55000,PE
1.21E+16,BANKEX 24 Oct 28 56800 CE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT56800CE,12,11,1105911,BANKEX,12,56800,CE
1.21E+16,BANKEX 24 Oct 28 58500 CE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT58500CE,12,11,1105920,BANKEX,12,58500,CE
1.21E+16,BANKEX 24 Oct 28 57000 CE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT57000CE,12,11,1105922,BANKEX,12,57000,CE
1.21E+16,BANKEX 24 Oct 28 62100 PE,14,15,0.05,,0915-1530|1815-1915:,25-10-2024,1730109600,BSE:BANKEX24OCT62100PE,12,11,1105923,BANKEX,12,62100,PE
