Token,Symbol Details,Exchange Instrument Type,Minimum Lot Size,Tick Size,ISIN,Trading Session,Last Update Date,Expiry Date,Symbol Ticker,Exchange,Segment,Scrip Code,Underlying Symbol,Underlying Scrip Code,Strike Price,Option Type
1.12E+15,MCXBULLDEX 24 Oct 25 FUT,11,1,1,,0900-2330|1815-1915:,25-10-2024,1729879200,MCX:MCXBULLDEX24OCTFUT,11,20,436952,MCXBULLDEX,568,-1,XX
1.12E+15,NATURALGAS 24 Oct 28 FUT,30,1,0.1,,0900-2330|1815-1915:,25-10-2024,1730138400,MCX:NATURALGAS24OCTFUT,11,20,432803,NATURALGAS,401,-1,XX
1.12E+15,NATGASMINI 24 Oct 28 FUT,30,1,0.1,,0900-2330|1815-1915:,25-10-2024,1730138400,MCX:NATGASMINI24OCTFUT,11,20,432804,NATGASMINI,596,-1,XX
1.12E+15,MENTHAOIL 24 Oct 31 FUT,30,1,0.1,,0900-1800|1815-1915:,25-10-2024,1730397600,MCX:MENTHAOIL24OCTFUT,11,20,433056,MENTHAOIL,320,-1,XX
1.12E+15,ALUMINIUM 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:ALUMINIUM24OCTFUT,11,20,435346,ALUMINIUM,358,-1,XX
1.12E+15,ALUMINI 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:ALUMINI24OCTFUT,11,20,435347,ALUMINI,522,-1,XX
1.12E+15,COPPER 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:COPPER24OCTFUT,11,20,435348,COPPER,152,-1,XX
1.12E+15,LEAD 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:LEAD24OCTFUT,11,20,435349,LEAD,383,-1,XX
1.12E+15,LEADMINI 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:LEADMINI24OCTFUT,11,20,435350,LEADMINI,505,-1,XX
1.12E+15,ZINC 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:ZINC24OCTFUT,11,20,435351,ZINC,378,-1,XX
1.12E+15,ZINCMINI 24 Oct 31 FUT,30,1,0.05,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:ZINCMINI24OCTFUT,11,20,435352,ZINCMINI,501,-1,XX
1.12E+15,NICKEL 24 Oct 31 FUT,30,1,0.1,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:NICKEL24OCTFUT,11,20,435353,NICKEL,153,-1,XX
1.12E+15,STEELREBAR 24 Oct 31 FUT,30,1,10,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:STEELREBAR24OCTFUT,11,20,435354,STEELREBAR,597,-1,XX
1.12E+15,GOLDGUINEA 24 Oct 31 FUT,30,1,1,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:GOLDGUINEA24OCTFUT,11,20,436244,GOLDGUINEA,425,-1,XX
1.12E+15,GOLDPETAL 24 Oct 31 FUT,30,1,1,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:GOLDPETAL24OCTFUT,11,20,436245,GOLDPETAL,525,-1,XX
1.12E+15,GOLDM 24 Oct 31 FUT,30,1,1,,0900-2330|1815-1915:,25-10-2024,1730397600,MCX:GOLDM2431OCTFUT,11,20,438165,GOLDM,117,-1,XX
1.12E+15,CRUDEOIL 24 Nov 15 6150 CE,31,1,0.1,,0900-2330|1815-1915:,25-10-2024,1731693600,MCX:CRUDEOIL24NOV6150CE,11,20,438578,CRUDEOIL,434271,6150,CE
