Token,Symbol Details,Exchange Instrument Type,Minimum Lot Size,Tick Size,ISIN,Trading Session,Last Update Date,Expiry Date,Symbol Ticker,Exchange,Segment,Scrip Code,Underlying Symbol,Underlying Scrip Code,Strike Price,Option Type
1.01E+14,JPYINR 24 Oct 29 65.5 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:JPYINR24OCT65.5CE,10,12,10107,JPYINR,27,65.5,CE
1.01E+14,JPYINR 24 Oct 29 65.5 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:JPYINR24OCT65.5PE,10,12,10109,JPYINR,27,65.5,PE
1.01E+13,EURINR 24 Oct 29 84.75 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT84.75CE,10,12,1032,EURINR,25,84.75,CE
1.01E+13,EURUSD 24 Oct 29 1.225 CE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.225CE,10,12,1033,EURUSD,41,1.225,CE
1.01E+13,EURUSD 24 Oct 29 1.225 PE,19,1,0.0001,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURUSD24OCT1.225PE,10,12,1034,EURUSD,41,1.225,PE
1.01E+14,USDJPY 24 Oct 29 129 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT129CE,10,12,10374,USDJPY,43,129,CE
1.01E+14,USDJPY 24 Oct 29 129 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT129PE,10,12,10375,USDJPY,43,129,PE
1.01E+14,GBPINR 24 Oct 29 115.5 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT115.5CE,10,12,10471,GBPINR,26,115.5,CE
1.01E+14,GBPINR 24 Oct 29 115.5 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT115.5PE,10,12,10472,GBPINR,26,115.5,PE
1.01E+14,GBPINR 24 Oct 29 115.75 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT115.75CE,10,12,10473,GBPINR,26,115.75,CE
1.01E+14,GBPINR 24 Oct 29 115.75 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT115.75PE,10,12,10498,GBPINR,26,115.75,PE
1.01E+14,GBPINR 24 Oct 29 116 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT116CE,10,12,10499,GBPINR,26,116,CE
1.01E+14,GBPINR 24 Oct 29 116 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:GBPINR24OCT116PE,10,12,10508,GBPINR,26,116,PE
1.01E+13,EURINR 24 Oct 29 84.75 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:EURINR24OCT84.75PE,10,12,1063,EURINR,25,84.75,PE
1.01E+14,USDINR 24 Oct 29 90 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT90CE,10,12,10671,USDINR,1,90,CE
1.01E+14,USDINR 24 Oct 29 90 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT90PE,10,12,10676,USDINR,1,90,PE
1.01E+14,USDINR 24 Oct 29 90.25 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT90.25CE,10,12,10677,USDINR,1,90.25,CE
1.01E+14,USDINR 24 Oct 29 90.25 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT90.25PE,10,12,10683,USDINR,1,90.25,PE
1.01E+13,JPYINR 24 Oct 29 48 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:JPYINR24OCT48CE,10,12,1072,JPYINR,27,48,CE
1.01E+13,JPYINR 24 Oct 29 48 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:JPYINR24OCT48PE,10,12,1081,JPYINR,27,48,PE
1.01E+14,USDJPY 24 Oct 29 130.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT130.5CE,10,12,10871,USDJPY,43,130.5,CE
1.01E+14,USDJPY 24 Oct 29 130.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT130.5PE,10,12,10873,USDJPY,43,130.5,PE
1.01E+14,USDJPY 24 Oct 29 131 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT131CE,10,12,10874,USDJPY,43,131,CE
1.01E+14,USDJPY 24 Oct 29 131 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT131PE,10,12,10875,USDJPY,43,131,PE
1.01E+14,USDJPY 24 Oct 29 131.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT131.5CE,10,12,10884,USDJPY,43,131.5,CE
1.01E+14,USDJPY 24 Oct 29 131.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT131.5PE,10,12,10885,USDJPY,43,131.5,PE
1.01E+14,USDJPY 24 Oct 29 132 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT132CE,10,12,10886,USDJPY,43,132,CE
1.01E+14,USDJPY 24 Oct 29 132 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT132PE,10,12,10891,USDJPY,43,132,PE
1.01E+14,USDJPY 24 Oct 29 132.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT132.5CE,10,12,10892,USDJPY,43,132.5,CE
1.01E+14,USDJPY 24 Oct 29 132.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT132.5PE,10,12,10893,USDJPY,43,132.5,PE
1.01E+14,USDJPY 24 Oct 29 133 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT133CE,10,12,10894,USDJPY,43,133,CE
1.01E+14,USDJPY 24 Oct 29 133 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT133PE,10,12,10895,USDJPY,43,133,PE
1.01E+14,USDINR 24 Oct 29 77.5 CE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT77.5CE,10,12,10903,USDINR,1,77.5,CE
1.01E+14,USDINR 24 Oct 29 77.5 PE,19,1,0.0025,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDINR24OCT77.5PE,10,12,10904,USDINR,1,77.5,PE
1.01E+14,USDJPY 24 Oct 29 133.5 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT133.5CE,10,12,10907,USDJPY,43,133.5,CE
1.01E+14,USDJPY 24 Oct 29 133.5 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT133.5PE,10,12,10908,USDJPY,43,133.5,PE
1.01E+14,USDJPY 24 Oct 29 134 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT134CE,10,12,10909,USDJPY,43,134,CE
1.01E+13,USDJPY 24 Oct 29 167 CE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT167CE,10,12,1091,USDJPY,43,167,CE
1.01E+14,USDJPY 24 Oct 29 134 PE,19,1,0.01,,0900-1700|1815-1915:,25-10-2024,1730185200,NSE:USDJPY24OCT134PE,10,12,10912,USDJPY,43,134,PE
